,Name,Artist,Link
0,Dynamite,BTS,https://www.youtube.com/watch?v=Mzk6KkyxXC8
1,Levitating (feat. DaBaby),Dua Lipa,https://www.youtube.com/watch?v=OTsxpG5zsD0
2,Perfect,Ed Sheeran,https://www.youtube.com/watch?v=cNGjD0VG4R8
3,Dance Monkey,Tones And I,https://www.youtube.com/watch?v=1__CAdTJ5JU
4,Girls Like You (feat. Cardi B),Maroon 5,https://www.youtube.com/watch?v=0lZ2AFZR6IU
5,Ice Cream (with Selena Gomez),BLACKPINK,https://www.youtube.com/watch?v=pcrnh069iBI
6,Closer,The Chainsmokers,https://www.youtube.com/watch?v=25ROFXjoaAU
7,2002,Anne-Marie,https://www.youtube.com/watch?v=qxCCGcMC1Jk
8,Butter,BTS,https://www.youtube.com/watch?v=bOq67Poe95w
9,Night Changes,One Direction,https://www.youtube.com/watch?v=KuNQlwpeJHo
10,Enchanted,Taylor Swift,https://www.youtube.com/watch?v=uyupd2PXbSQ

