,Name,Artist,Link song
0,Loreen,Tattoo,https://www.youtube.com/watch?v=_IqI2bf9CCQ
1,My Heart,Acha Septriasa ft Irwansyah,https://www.youtube.com/watch?v=f9vLTlHmpPo
2,Reckless,Madison Beer,https://www.youtube.com/watch?v=TFHCew8DnC0
3,Fine,Taeyeon,https://www.youtube.com/watch?v=NHXUM-6a3dU
4,Dan Bila Esok,Sofaz,https://www.youtube.com/watch?v=cms3vSwCNa4
5,Tak Ingin Usai,Keisya Levronka,https://www.youtube.com/watch?v=FB1YNEOspyA
6,The Happiest Girl,Blackpink,https://www.youtube.com/watch?v=kVXazE8wR1Q
7,Be Alright,Dean Lewis,
8,Let You Down,NF,
9,Stay,Balckpink,
10,you broke me first,Tate McRae,
