,Name,Artist,Link song
0,Butter,BTS,https://www.youtube.com/watch?v=bOq67Poe95w
1,Levitating (feat. DaBaby),Dua Lipa,https://www.youtube.com/watch?v=1j_XvebOg4c
2,Solo,Jennie,https://www.youtube.com/watch?v=08DAY7SEo2k
3,traitor,Olivia Rodrigo,https://www.youtube.com/watch?v=Fuylacd9kSY
4,Side to side,Ariana Grande,https://www.youtube.com/watch?v=xVXB9Kw5Fkk
5,happier,Olivia Rodrigo,https://www.youtube.com/watch?v=8kX6LwuhKLs
6,drivers license,Olivia Rodrigo,https://www.youtube.com/watch?v=_Bjf-iExroI
7,"jealousy, jealousy",Olivia Rodrigo,https://www.youtube.com/watch?v=YabMjbXdi04
8,Dynamite,BTS,https://www.youtube.com/watch?v=Mzk6KkyxXC8
9,Heartbreak Anniversary,Giveon,https://www.youtube.com/watch?v=cryLpOIPCP8
